,Entidad financiadora,Año(s),Montos (en USD),Estado actual (Activo / Finalizado),Información relevante
,Agencia Española de Cooperación Internacional para el Desarrollo (AECID),2022,62431,Finalizado,"**Ciudadanía Inteligente cumple el rol de fiscal sponsor.
"
,Amnistía Internacional México,2020,5403,Finalizado,
,,2022,9127,Finalizado,
,Agencia de la ONU para los Refugiados (ACNUR),2023,5738,Finalizado,
,Avina,2013,8200,Finalizado,
,,2014,5200,Finalizado,
,,2023,29777,Finalizado,
,Banco Interamericano de desarrollo (BID),2017,1094,Finalizado,
,Banco Mundial,2011,45000,Finalizado,
,Barcelona Institute of Technology for the Habitat,2019,5241,Finalizado,
,Comunidad y biodiversidad A.C,2018,1725,Finalizado,
,Espacios abiertos,2017,19886,Finalizado,
,,2018,38908,Finalizado,
,,2019,29143,Finalizado,
,,2021,13566,Finalizado,
,Comunidad de organizaciones solidarias,2020,43818,Finalizado,
,,2021,11099,Finalizado,
,Derechos digitales,2019,6102,Finalizado,
,Friedrich Ebert Stiftung Chile,2019,6584,Finalizado,
,,2020,11662,Finalizado,
,,2021,27994,Finalizado,
,,2022,8862,Finalizado,
,,2023,12670,Finalizado,
,,2024,15000,Finalizado,
,Grupo Faro,2019,10406,Finalizado,
,Fundación Barcelona Wold Capital,2019,5231,Finalizado,
,EduIntermedia,2020,2508,Finalizado,
,,2021,1464,Finalizado,
,Fundación Internacional y para Iberoamérica de Administración y Políticas Públicas,2018,16959,Finalizado,
,Fundación Colunga,2018,6762,Finalizado,
,,2019,5963,Finalizado,
,,2022,1165,Finalizado,
,Financiamiento DAL,2012,7000,Finalizado,
,,2013,11700,Finalizado,
,Fundación para el Desarrollo de la Lib. Ciudadana,2017,2808,Finalizado,
,Fundación Instituto Católico Chileno de Migración (INCAMI),2023,3586,Finalizado,
,,2024,3179,Finalizado,
,Fundación para la Confianza,2022,2004,Finalizado,
,Fundación Segarra Boerman,2025,8300,Finalizado,
,Goethe-Institut Chile,2022,829,Finalizado,
,Institute of Public Finance (IPF) National Endowment for Democracy (NED) Partners,2024,4500,Finalizado,
,,2025,11700,Finalizado,
,Fundación Tiempos Nuevos,2024,5107,Finalizado,
,,2025,3565,Finalizado,
,Fundación Teatro a Mil,2020,244,Finalizado,
,Instituto Mexicano para Competitividad A.C.,2018,24990,Finalizado,
,International Development Research Centre,2018,156516,Finalizado,
,,2019,62623,Finalizado,
,,2020,43859,Finalizado,
,,2022,5107,Finalizado,
,Iswe Foundation,2025,5344,Finalizado,
,"Global Initiative for Economic, Social, and Cultural Rights (GI-ESCR)",2021,20000,Finalizado,
,Hivos,2014,64852,Finalizado,
,,2015,180747,Finalizado,
,,2017,6714,Finalizado,
,,2018,7107,Finalizado,
,Google,2011,60000,Finalizado,
,,2012,250000,Finalizado,
,,2020,25000,Finalizado,
,MySociety,2013,381500,Finalizado,
,,2014,444741,Finalizado,
,National Endowment for Democracy (NED),2016,29918,Finalizado,
,,2017,91975,Finalizado,
,,2018,72000,Finalizado,
,,2019,115000,Finalizado,
,,2020,99000,Finalizado,
,,2021,144000,Finalizado,
,,2022,154000,Finalizado,
,,2023,110749,Finalizado,
,,2024,100000,Finalizado,
,,2025,30000,Finalizado,
,Luminate/Omidyar Network,2012,150000,Finalizado,
,,2013,175000,Finalizado,
,,2015,249958,Finalizado,
,,2016,200000,Finalizado,
,,2018,174944,Finalizado,
,,2019,150262,Finalizado,
,Open Society Foundations,2011,245000,Finalizado,
,,2012,130000,Finalizado,
,,2013,195400,Finalizado,
,,2014,199833,Finalizado,
,,2015,199745,Finalizado,
,,2016,189907,Finalizado,
,,2017,190000,Finalizado,
,,2018,190000,Finalizado,
,,2019,380000,Finalizado,*USD $380.000 recibidos en 2019 de Open Society Foundations corresponde a un aporte bianual (2019 y 2020) con rendición técnica y financiera anual.
,,2020,80000,Finalizado,
,,2021,120000,Finalizado,
,,2022,425000,Finalizado,
,,2023,200000,Finalizado,
,,2024,600000,,
,Open Society Foundations (RLTL),2016,145927,Finalizado,
,Open Society Foundations (ANTP)**,2020,50000,,**Ciudadanía Inteligente cumple el rol de fiscal sponsor.
,,2021,130000,,**Ciudadanía Inteligente cumple el rol de fiscal sponsor.
,,2022,50000,,**Ciudadanía Inteligente cumple el rol de fiscal sponsor.
,Open Society Foundations (CG)**                         ,2023,100000,,**Ciudadanía Inteligente cumple el rol de fiscal sponsor.
,Open Society Foundations (OSF)(Cultura y Ciudadanía)***,2025,195000,,***
,Packard Foundation,2024,75000,Finalizado,
,,2025,50000,Finalizado,
,Packard Foundation (Consultancy),2024,70000,Finalizado,
,Packard Foundation (Advisory Group) ***,2024,5000,Finalizado,
,Prize award,2011,14000,Finalizado,
,,2013,10000,Finalizado,
